to_alt,playername,transfersumme,weight,transfertype,season,year,transferfenster,ligaintern,transferid,,,
FCB,ITA1,FC Bayern Muenchen,Juventus Turin,Kingsley Coman,7000000,6,2,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/243714/transfer_id/1332351
FCB,ITA1,FC Bayern Muenchen,Juventus Turin,Kingsley Coman,21.000.000,7,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/243714/transfer_id/1755335
FCB,ITA1,FC Bayern Muenchen,AS Rom,Medhi Benatia,28.000.000,7,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/45124/transfer_id/1119744
FCB,ITA1,FC Bayern Muenchen,Juventus Turin,Arturo Vidal,39250000,7,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/37666/transfer_id/1302700
FCB,JAP1,FC Bayern Muenchen,Gamba Osaka,Takashi Usami,300000,3,2,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/111881/transfer_id/590745
FCB,POR1,FC Bayern Muenchen,Benfica Lissabon,Tiago Dantas,99,1,2,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/429987/transfer_id/3090732
FCB,POR1,FC Bayern Muenchen,Benfica Lissabon,Renato Sanches,35000000,7,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/258027/transfer_id/1480544
FCB,RUS1,FC Bayern Muenchen,Spartak Moskau,Serdar Tasci,2500000,5,2,1516,2016,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/34593/transfer_id/1425144
FCB,S04,FC Bayern Muenchen,FC Schalke 04,Lukas Raeder,0,1,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/125172/transfer_id/707386
FCB,S04,FC Bayern Muenchen,FC Schalke 04,Leon Goretzka,0,1,1,1819,2018,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/153084/transfer_id/2008415
FCB,S04,FC Bayern Muenchen,FC Schalke 04,Alexander Nuebel,0,1,1,2021,2020,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/195778/transfer_id/2744120
FCB,S04,FC Bayern Muenchen,FC Schalke 04,Manuel Neuer,30000000,7,1,1112,2011,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/17259/transfer_id/578657
FCB,SCF,FC Bayern Muenchen,SC Freiburg,Marco Hingerl,0,1,1,1617,2016,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/195056/transfer_id/1512196
FCB,SCF,FC Bayern Muenchen,SC Freiburg,Woo yeong Jeong,99,1,2,1920,2020,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/297583/transfer_id/2777320
FCB,SGE,FC Bayern Muenchen,Eintracht Frankfurt,Sebastian Rode,0,1,1,1415,2014,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/44466/transfer_id/1049848
FCB,SGE,FC Bayern Muenchen,Eintracht Frankfurt,Marcos Alvarez,200.000,3,1,1011,2011,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/47944/transfer_id/532039
FCB,SUI1,FC Bayern Muenchen,FC Basel 1893,Xherdan Shaqiri,11800000,7,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/86792/transfer_id/771959
FCB,TSG,FC Bayern Muenchen,TSG 1899 Hoffenheim,Tom Starke,0,1,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/80/transfer_id/717602
FCB,TSG,FC Bayern Muenchen,TSG 1899 Hoffenheim,Sebastian Rudy,0,1,1,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/57051/transfer_id/1674980
FCB,TSG,FC Bayern Muenchen,TSG 1899 Hoffenheim,Sandro Wagner,13.000.000,7,1,1718,2018,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/39743/transfer_id/1978401
FCB,TSG,FC Bayern Muenchen,TSG 1899 Hoffenheim,Luiz Gustavo,17.000.000,7,1,1011,2011,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/10471/transfer_id/516770
FCB,TSG,FC Bayern Muenchen,TSG 1899 Hoffenheim,Niklas Suele,20.000.000,7,1,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/166601/transfer_id/1674981
FCB,UKR1,FC Bayern Muenchen,Shakhtar Donetsk,Douglas Costa,30000000,7,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/75615/transfer_id/1273730
FCB,USA1,FC Bayern Muenchen,Vancouver Whitecaps FC,Alphonso Davies,10000000,6,1,1819,2019,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/424204/transfer_id/2195457
FCB,VFB,FC Bayern Muenchen,VfB Stuttgart,Sven Ulreich,3500000,5,1,1516,2015,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/40680/transfer_id/1261202
FCB,VFB,FC Bayern Muenchen,VfB Stuttgart,Joshua Kimmich,8500000,6,1,1516,2015,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/161056/transfer_id/1166765
FCB,WOL,FC Bayern Muenchen,VfL Wolfsburg,Mario Mandzukic,13000000,7,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/34572/transfer_id/736984
AUT1,FCB,LASK,FC Bayern Muenchen,Fabian Benko,0,1,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/337027/transfer_id/2125984
B04,FCB,Bayer 04 Leverkusen,FC Bayern Muenchen,Emre Can,5.000.000,5,1,1314,2013,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/119296/transfer_id/922655
BRA1,FCB,Flamengo Rio de Janeiro,FC Bayern Muenchen,Rafinha,0,1,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/33947/transfer_id/2438530
BRE,FCB,SV Werder Bremen,FC Bayern Muenchen,Marco Friedl,99,1,2,1718,2018,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/156990/transfer_id/2013809
BRE,FCB,SV Werder Bremen,FC Bayern Muenchen,Nils Petersen,500000,3,2,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/42936/transfer_id/738009
BRE,FCB,SV Werder Bremen,FC Bayern Muenchen,Nils Petersen,3.000.000,5,1,1314,2013,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/42936/transfer_id/873955
BRE,FCB,SV Werder Bremen,FC Bayern Muenchen,Marco Friedl,3500000,5,1,1920,2019,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/156990/transfer_id/2488867
BRE,FCB,SV Werder Bremen,FC Bayern Muenchen,Mehmet Ekici,5000000,5,1,1112,2011,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/39724/transfer_id/572961
BSC,FCB,Hertha BSC,FC Bayern Muenchen,Andreas Ottl,0,1,1,1112,2011,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/14856/transfer_id/571175
BSC,FCB,Hertha BSC,FC Bayern Muenchen,Thomas Kraft,0,1,1,1112,2011,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/39732/transfer_id/568635
BSC,FCB,Hertha BSC,FC Bayern Muenchen,Mitchell Weiser,0,1,1,1516,2015,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/119211/transfer_id/1262964
BSC,FCB,Hertha BSC,FC Bayern Muenchen,Sinan Kurt,500000,3,1,1516,2016,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/170530/transfer_id/1399233
BVB,FCB,Borussia Dortmund,FC Bayern Muenchen,Sebastian Rode,12000000,7,1,1617,2016,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/44466/transfer_id/1497499
BVB,FCB,Borussia Dortmund,FC Bayern Muenchen,Mario Goetze,22000000,7,1,1617,2016,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/74842/transfer_id/1545249
BVB,FCB,Borussia Dortmund,FC Bayern Muenchen,Mats Hummels,30500000,7,1,1920,2019,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/39728/transfer_id/2513973
CHN1,FCB,TJ Teda,FC Bayern Muenchen,Sandro Wagner,5000000,6,1,1819,2019,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/39743/transfer_id/2386279
ENG1,FCB,AFC Sunderland,FC Bayern Muenchen,Jan Kirchhoff,1000000,4,1,1516,2016,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/49734/transfer_id/1399648
ENG1,FCB,Swansea City,FC Bayern Muenchen,Renato Sanches,8.500.000,6,2,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/258027/transfer_id/1899594
ENG1,FCB,Manchester United,FC Bayern Muenchen,Bastian Schweinsteiger,9000000,6,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/2514/transfer_id/1322817
ENG1,FCB,FC Southampton,FC Bayern Muenchen,Pierre-Emile Hoejbjerg,15000000,7,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/167799/transfer_id/1532571
ENG1,FCB,FC Liverpool,FC Bayern Muenchen,Thiago,22000000,7,1,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/60444/transfer_id/3066830
ENG2,FCB,Bristol City,FC Bayern Muenchen,Ivan Lucic,99,1,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/164145/transfer_id/1549961
ESP1,FCB,Real Madrid,FC Bayern Muenchen,Hamit Altintop,0,1,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/1792/transfer_id/571174
ESP1,FCB,FC Malaga,FC Bayern Muenchen,Martin Demichelis,3.000.000,5,1,1011,2011,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/2963/transfer_id/513211
ESP1,FCB,FC Barcelona,FC Bayern Muenchen,Arturo Vidal,18000000,7,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/37666/transfer_id/2210215
ESP1,FCB,Atletico Madrid,FC Bayern Muenchen,Mario Mandzukic,22.000.000,7,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/34572/transfer_id/1082842
ESP1,FCB,Real Madrid,FC Bayern Muenchen,Toni Kroos,25.000.000,7,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/31909/transfer_id/1088039
F95,FCB,Fortuna Duesseldorf,FC Bayern Muenchen,Bastian Mueller,0,1,1,1213,2012,1,1,transfermarkt.de/jumplist/transfers/spieler/103577/transfer_id/734240
FCA,FCB,FC Augsburg,FC Bayern Muenchen,Felix Goetze,0,1,1,1819,2018,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/330635/transfer_id/2126554
FCA,FCB,FC Augsburg,FC Bayern Muenchen,Pierre Emile Hoejbjerg,99,1,2,1415,2015,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/167799/transfer_id/1169878
FCN,FCB,1.FC Nuernberg,FC Bayern Muenchen,Mehmet Ekici,99,1,2,1011,2010,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/39724/transfer_id/440950
FCN,FCB,1.FC Nuernberg,FC Bayern Muenchen,Timothy Tillman,150000,3,2,1819,2018,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/310662/transfer_id/2156170
FRA1,FCB,Olymique Marseille,FC Bayern Muenchen,Michael Cuisance,99,1,2,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/344600/transfer_id/3089204
FRA1,FCB,FC Girondins Bordeaux,FC Bayern Muenchen,Diego Contento,1.000.000,4,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/39717/transfer_id/1114301
FRA1,FCB,FC Paris Saint Germain,FC Bayern Muenchen,Juan Bernat,5000000,6,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/126719/transfer_id/2247647
FRA1,FCB,LOSC Lille,FC Bayern Muenchen,Renato Sanches,20000000,7,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/258027/transfer_id/2619662
GER2,FCB,Hertha BSC,FC Bayern Muenchen,Christian Lell,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/2233/transfer_id/435939
GER2,FCB,FC Ingolstadt 04,FC Bayern Muenchen,Andreas Goerlitz,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/1742/transfer_id/421767
GER2,FCB,1.FC Heidenheim 1846,FC Bayern Muenchen,Niklas Dorsch,0,1,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/251302/transfer_id/2105540
GER2,FCB,Hamburger SV,FC Bayern Muenchen,Sven Ulreich,0,1,1,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/40680/transfer_id/3086126
GER2,FCB,1.FC Kaiserslautern,FC Bayern Muenchen,Mitchell Weiser,99,1,2,1213,2013,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/119211/transfer_id/815915
GER2,FCB,Hamburger SV,FC Bayern Muenchen,Adrian Fein,99,1,2,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/379979/transfer_id/2512320
GER2,FCB,SV Darmstadt 98,FC Bayern Muenchen,Lars Lukas Mai,99,1,2,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/345780/transfer_id/2980169
GER2,FCB,VfB Stuttgart,FC Bayern Muenchen,Julian Green,300000,3,1,1617,2017,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/161204/transfer_id/1652206
GER2,FCB,1.FC Nuernberg,FC Bayern Muenchen,Alessandro Schoepf,400.000,3,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/118397/transfer_id/1073702
GER2,FCB,1.FC Nuernberg,FC Bayern Muenchen,Christian Fruechtl,400000,4,2,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/336307/transfer_id/3005185
GER3,FCB,Holstein Kiel,FC Bayern Muenchen,Maximilian Riedmueller,0,1,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/52093/transfer_id/866796
H96,FCB,Hannover 96,FC Bayern Muenchen,Vladimir Rankovic,0,1,1,1415,2014,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/92453/transfer_id/1019195
H96,FCB,Hannover 96,FC Bayern Muenchen,Yousef Emghames,0,1,1,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/337026/transfer_id/1779289
H96,FCB,Hannover 96,FC Bayern Muenchen,Leo Weinkauf,0,1,1,1819,2018,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/196427/transfer_id/2068639
HSV,FCB,Hamburger SV,FC Bayern Muenchen,Julian Green,300.000,3,2,1415,2014,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/161204/transfer_id/1122270
ITA1,FCB,Genua CFC,FC Bayern Muenchen,Luca Toni,0,1,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/5980/transfer_id/432171
ITA1,FCB,AC Mailand,FC Bayern Muenchen,Mark van Bommel,0,1,1,1011,2011,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/3515/transfer_id/531365
ITA1,FCB,Lazio Rom,FC Bayern Muenchen,Miroslav Klose,0,1,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/10/transfer_id/581749
ITA1,FCB,AC Florenz,FC Bayern Muenchen,Franck Ribery,0,1,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/22068/transfer_id/2616300
ITA1,FCB,Inter Mailand,FC Bayern Muenchen,Xherdan Shaqiri,99,1,2,1415,2015,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/86792/transfer_id/1170977
ITA1,FCB,Parma Calcio 1913,FC Bayern Muenchen,Joshua Zirkzee,99,1,2,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/435648/transfer_id/3232760
ITA1,FCB,Chievo Verona,FC Bayern Muenchen,Gianluca Gaudino,50.000,2,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/195051/transfer_id/1815762
ITA1,FCB,SSC Neapel,FC Bayern Muenchen,Pepe Reina,2000000,5,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/7825/transfer_id/1266560
ITA1,FCB,SSC Neapel,FC Bayern Muenchen,Jose Sosa,3.000.000,5,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/20137/transfer_id/473954
ITA1,FCB,Juventus Turin,FC Bayern Muenchen,Medhi Benatia,3000000,5,2,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/45124/transfer_id/1537827
ITA1,FCB,Juventus Turin,FC Bayern Muenchen,Douglas Costa,6.000.000,6,2,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/75615/transfer_id/1832824
ITA1,FCB,Inter Mailand,FC Bayern Muenchen,Xherdan Shaqiri,15000000,7,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/86792/transfer_id/1170979
ITA1,FCB,AC Florenz,FC Bayern Muenchen,Mario Gomez,15.500.000,7,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/6288/transfer_id/903521
ITA1,FCB,Juventus Turin,FC Bayern Muenchen,Medhi Benatia,16.700.000,7,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/45124/transfer_id/1764840
ITA1,FCB,Juventus Turin,FC Bayern Muenchen,Douglas Costa,40000000,7,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/75615/transfer_id/1959285
M05,FCB,1.FSV Mainz 05,FC Bayern Muenchen,Deniz Yilmaz,0,1,1,1112,2011,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/34753/transfer_id/553899
M05,FCB,1.FSV Mainz 05,FC Bayern Muenchen,Jonathan Meier,1200000,5,1,1920,2019,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/379989/transfer_id/2486765
NED1,FCB,PSV Eindhoven,FC Bayern Muenchen,Adrian Fein,99,1,2,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/379979/transfer_id/3090907
POR1,FCB,Sporting Lissabon,FC Bayern Muenchen,Danijel Pranjic,0,1,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/25617/transfer_id/719199
POR1,FCB,Vitoria Setubal FC,FC Bayern Muenchen,Lukas Raeder,0,1,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/125172/transfer_id/1065859
RUS1,FCB,Zenit St. Petersburg,FC Bayern Muenchen,Anatoliy Tymoshchuk,99,1,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/14944/transfer_id/878228
S04,FCB,FC Schalke 04,FC Bayern Muenchen,Holger Badstuber,0,1,2,1617,2017,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/54659/transfer_id/1669481
S04,FCB,FC Schalke 04,FC Bayern Muenchen,Jan Kirchhoff,500.000,3,2,1314,2014,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/49734/transfer_id/990099
S04,FCB,FC Schalke 04,FC Bayern Muenchen,Pierre Emile Hoejbjerg,1000000,4,2,1516,2015,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/167799/transfer_id/1330790
S04,FCB,FC Schalke 04,FC Bayern Muenchen,Sebastian Rudy,16000000,7,1,1819,2018,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/57051/transfer_id/2241204
SCF,FCB,SC Freiburg,FC Bayern Muenchen,Woo yeong Jeong,2000000,5,1,1920,2019,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/297583/transfer_id/2514081
SUI1,FCB,FC St. Gallen 1879,FC Bayern Muenchen,Gianluca Gaudino,99,1,2,1516,2016,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/195051/transfer_id/1401365
TSG,FCB,TSG 1899 Hoffenheim,FC Bayern Muenchen,Edson Braafheid,0,1,1,1011,2011,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/16731/transfer_id/532225
TSG,FCB,TSG 1899 Hoffenheim,FC Bayern Muenchen,David Alaba,99,1,2,1011,2011,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/59016/transfer_id/516919
TSG,FCB,TSG 1899 Hoffenheim,FC Bayern Muenchen,Chris Richards,250000,3,2,2021,2021,2,1,https://www.transfermarkt.de/jumplist/transfers/spieler/578539/transfer_id/3232013
TSG,FCB,TSG 1899 Hoffenheim,FC Bayern Muenchen,Serge Gnabry,1.000.000,4,2,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/159471/transfer_id/1835894
VFB,FCB,VfB Stuttgart,FC Bayern Muenchen,Holger Badstuber,0,1,1,1718,2017,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/54659/transfer_id/1867100
VFB,FCB,VfB Stuttgart,FC Bayern Muenchen,Georg Niedermeier,3.500.000,5,1,1011,2010,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/31570/transfer_id/390577
WOL,FCB,VfL Wolfsburg,FC Bayern Muenchen,Ivica Olic,0,1,1,1213,2012,1,1,https://www.transfermarkt.de/jumplist/transfers/spieler/7427/transfer_id/712463
